estimand,seed,task,contrast_ndcg_at_10
operator_effect,271828,NFCorpus,-0.0037800000000000056
state_operator_interaction,271828,NFCorpus,0.0012199999999999989
weight_state_effect,271828,NQ,0.0030400000000000427
operator_effect,271828,NQ,-0.011160000000000059
state_operator_interaction,271828,NQ,-0.019560000000000022
weight_state_effect,271828,QuoraRetrieval,0.0013199999999999878
operator_effect,271828,QuoraRetrieval,-0.0020000000000000018
state_operator_interaction,271828,QuoraRetrieval,-0.0007200000000000539
weight_state_effect,271828,SCIDOCS,-0.006864999999999996
operator_effect,271828,SCIDOCS,-0.006034999999999999
state_operator_interaction,271828,SCIDOCS,-0.002170000000000033
weight_state_effect,271828,SciFact,0.006750000000000034
operator_effect,271828,SciFact,-0.00043999999999999595
state_operator_interaction,271828,SciFact,0.007819999999999938
weight_state_effect,271828,TRECCOVID,0.0033099999999999796
operator_effect,271828,TRECCOVID,-0.008389999999999953
state_operator_interaction,271828,TRECCOVID,0.0029599999999999627
weight_state_effect,271828,Touche2020,-4.000000000001225e-05
operator_effect,271828,Touche2020,0.008779999999999982
state_operator_interaction,271828,Touche2020,0.018919999999999992
weight_state_effect,314159,ArguAna,0.007684999999999997
operator_effect,314159,ArguAna,-0.01123500000000005
state_operator_interaction,314159,ArguAna,-0.003070000000000017
weight_state_effect,314159,ClimateFEVER,-0.0072099999999999664
operator_effect,314159,ClimateFEVER,4.000000000001225e-05
state_operator_interaction,314159,ClimateFEVER,-0.010599999999999998
weight_state_effect,314159,DBPedia,0.0026850000000000207
operator_effect,314159,DBPedia,-0.003945000000000004
state_operator_interaction,314159,DBPedia,0.0034500000000000086
weight_state_effect,314159,FEVER,-0.0018700000000000383
operator_effect,314159,FEVER,-0.0013400000000000079
state_operator_interaction,314159,FEVER,-0.00015999999999993797
weight_state_effect,314159,FiQA2018,0.0023649999999999505
operator_effect,314159,FiQA2018,-0.014765000000000028
state_operator_interaction,314159,FiQA2018,0.008329999999999949
weight_state_effect,314159,HotpotQA,4.999999999999449e-05
operator_effect,314159,HotpotQA,-0.004510000000000014
state_operator_interaction,314159,HotpotQA,0.0012000000000000899
weight_state_effect,314159,MSMARCO,0.0013250000000000206
operator_effect,314159,MSMARCO,-0.004504999999999981
state_operator_interaction,314159,MSMARCO,-8.999999999992347e-05
weight_state_effect,314159,NFCorpus,0.0022150000000000225
operator_effect,314159,NFCorpus,-0.004255000000000009
state_operator_interaction,314159,NFCorpus,0.01156999999999997
weight_state_effect,314159,NQ,0.02093999999999996
operator_effect,314159,NQ,-0.006750000000000034
state_operator_interaction,314159,NQ,0.013500000000000068
weight_state_effect,314159,QuoraRetrieval,0.0015399999999999858
operator_effect,314159,QuoraRetrieval,-0.0015000000000000568
state_operator_interaction,314159,QuoraRetrieval,0.0006800000000000139
weight_state_effect,314159,SCIDOCS,-0.0006100000000000133
operator_effect,314159,SCIDOCS,-0.0024300000000000016
state_operator_interaction,314159,SCIDOCS,0.004420000000000007
weight_state_effect,314159,SciFact,0.0041200000000000125
operator_effect,314159,SciFact,-0.014170000000000016
state_operator_interaction,314159,SciFact,0.0022800000000000598
weight_state_effect,314159,TRECCOVID,0.002844999999999931
operator_effect,314159,TRECCOVID,-0.006535000000000013
state_operator_interaction,314159,TRECCOVID,0.00600999999999996
weight_state_effect,314159,Touche2020,0.008924999999999988
operator_effect,314159,Touche2020,-0.00016499999999999848
state_operator_interaction,314159,Touche2020,0.0005700000000000149
